date,equity
2009-09-30,93234361.51
2009-09-30,92707891.41
2009-09-30,92073862.42
2009-10-02,92073862.42
2009-10-02,92073862.42
2009-10-02,92073862.42
2009-10-30,91697713.44
2009-10-30,91697713.44
2009-10-31,93958411.06
2009-10-31,92278965.29
2009-10-31,92272373.56
2009-11-06,92272373.56
2009-11-06,92272373.56
2009-11-06,92272373.56
2009-11-27,94805873.52
2009-11-27,97813542.04
2009-11-27,97813542.04
2009-11-27,97813542.04
2009-11-30,104838244.36
2009-11-30,104683494.09
2009-12-04,104683494.09
2009-12-04,104683494.09
2009-12-31,111520870.19
2009-12-31,113403675.41
2009-12-31,111895992.51
2010-01-01,111895992.51
2010-01-01,111895992.51
2010-01-01,111895992.51
2010-01-15,111183823.63
2010-01-15,111183823.63
2010-01-29,112709464.54
2010-01-29,113334866.24
2010-01-29,113334866.24
2010-01-29,113334866.24
2010-01-31,113426064.88
2010-01-31,112414490.24
2010-01-31,112247687.35
2010-02-05,112143213.97
2010-02-05,112143213.97
2010-02-05,112143213.97
2010-02-05,112143213.97
2010-02-05,112143213.97
2010-02-19,113168029.76
2010-02-19,115627996.65
2010-02-19,115627996.65
2010-02-19,115627996.65
2010-02-28,115271040.30
2010-02-28,114962474.24
2010-02-28,114485507.16
2010-03-05,121295887.90
2010-03-05,121295887.90
2010-03-05,121295887.90
2010-03-05,121295887.90
2010-03-05,121295887.90
2010-03-19,121214578.78
2010-03-19,120752241.54
2010-03-19,120752241.54
2010-03-19,120752241.54
2010-03-31,119407823.56
2010-03-31,119043887.19
2010-04-02,119043887.19
2010-04-02,119043887.19
2010-04-23,117032113.97
2010-04-23,118786138.36
2010-04-23,118786138.36
2010-04-23,118786138.36
2010-04-30,118262748.07
2010-04-30,118262748.07
2010-05-07,119204947.22
2010-05-07,119364167.94
2010-05-07,119005339.77
2010-05-07,119005339.77
2010-05-07,119005339.77
2010-05-07,119005339.77
2010-05-14,118672452.83
2010-05-14,118672452.83
2010-05-21,118160687.18
2010-05-21,118160687.18
2010-05-28,118107003.48
2010-05-28,118107003.48
2010-05-31,115686608.03
2010-05-31,114846136.70
2010-06-04,114846136.70
2010-06-04,114846136.70
2010-06-18,114291018.65
2010-06-18,114291018.65
2010-06-25,113658494.59
2010-06-25,113658494.59
2010-06-30,113366701.25
2010-06-30,112768788.69
2010-07-02,112768788.69
2010-07-02,112768788.69
2010-08-13,112500234.92
2010-08-13,112500234.92
2010-08-20,113141638.81
2010-08-20,113023115.36
2010-08-20,113023115.36
2010-08-20,113023115.36
2010-08-27,113067282.48
2010-08-27,113067282.48
2010-08-31,112318371.19
2010-09-03,112318371.19
2010-10-29,111671185.59
2010-10-29,111671185.59
2010-10-31,112717204.95
2010-10-31,118389944.25
2010-11-05,118389944.25
2010-11-05,118389944.25
2010-11-12,118071111.01
2010-11-12,118071111.01
2010-11-26,117007621.10
2010-11-26,117007621.10
2010-11-30,116793951.83
2010-12-03,116793951.83
2010-12-24,119243932.76
2010-12-24,119243932.76
2010-12-31,118919689.32
2010-12-31,118919689.32
2011-01-07,118796118.52
2011-01-07,118796118.52
2011-01-14,118286697.73
2011-01-14,118286697.73
2011-01-21,117500854.62
2011-01-21,117120844.09
2011-01-21,117120844.09
2011-01-21,117120844.09
2011-01-28,117637856.28
2011-01-28,117637856.28
2011-01-31,122016939.62
2011-02-04,122016939.62
2011-02-11,121125080.08
2011-02-11,121125080.08
2011-02-16,127001139.79
2011-02-18,127001139.79
2011-02-25,126729270.64
2011-02-25,125015802.32
2011-02-25,125015802.32
2011-02-25,125015802.32
2011-02-28,126453733.25
2011-02-28,126070543.64
2011-02-28,125193088.34
2011-03-04,124311940.15
2011-03-04,124311940.15
2011-03-04,124311940.15
2011-03-04,124311940.15
2011-03-04,124311940.15
2011-03-11,123876788.21
2011-03-11,123818456.46
2011-03-11,123818456.46
2011-03-11,123818456.46
2011-03-18,129607675.09
2011-03-18,129245353.65
2011-03-18,128646885.79
2011-03-18,128730575.21
2011-03-18,128730575.21
2011-03-18,128730575.21
2011-03-18,128730575.21
2011-03-18,128730575.21
2011-03-31,130413659.88
2011-03-31,132227746.95
2011-04-01,132227746.95
2011-04-01,132227746.95
2011-04-29,132024540.61
2011-04-29,131238737.24
2011-04-29,131238737.24
2011-04-29,131238737.24
2011-04-30,132059917.54
2011-05-06,132059917.54
2011-05-13,132947348.42
2011-05-13,132947348.42
2011-05-20,132968724.19
2011-05-20,132751026.28
2011-05-20,132929590.73
2011-05-20,132929590.73
2011-05-20,132929590.73
2011-05-20,132929590.73
2011-05-27,132690156.69
2011-05-27,132690156.69
2011-05-31,135515928.48
2011-05-31,133989398.32
2011-05-31,132025411.07
2011-05-31,131516718.28
2011-05-31,131386141.10
2011-06-03,130832705.03
2011-06-03,130832705.03
2011-06-03,130832705.03
2011-06-03,130832705.03
2011-06-03,130832705.03
2011-06-03,130832705.03
2011-06-03,130832705.03
2011-06-10,130437999.47
2011-06-10,130221751.91
2011-06-10,130221751.91
2011-06-10,130221751.91
2011-06-17,128889798.86
2011-06-17,128889798.86
2011-06-24,128678591.82
2011-06-24,128678591.82
2011-06-30,130585581.40
2011-06-30,129912448.94
2011-06-30,128531286.72
2011-06-30,128275958.63
2011-06-30,128263121.85
2011-07-01,130586423.20
2011-07-01,130586423.20
2011-07-01,130586423.20
2011-07-01,130586423.20
2011-07-01,130586423.20
2011-07-01,130586423.20
2011-07-01,130586423.20
2011-07-08,130280715.43
2011-07-08,130280715.43
2011-07-15,130016686.95
2011-07-15,129730633.82
2011-07-15,129730633.82
2011-07-15,129730633.82
2011-07-22,129320481.91
2011-07-22,129320481.91
2011-07-29,129091265.24
2011-07-29,129091265.24
2011-08-12,127936818.46
2011-08-12,126320123.24
2011-08-12,126045584.48
2011-08-12,125018400.80
2011-08-12,125018400.80
2011-08-12,125018400.80
2011-08-12,125018400.80
2011-08-12,125018400.80
2011-08-19,135779126.61
2011-08-19,134830896.20
2011-08-19,134830896.20
2011-08-19,134830896.20
2011-08-26,133509208.35
2011-08-26,132743905.10
2011-08-26,132743905.10
2011-08-26,132743905.10
2011-08-31,131844366.23
2011-08-31,131264218.33
2011-09-02,131264218.33
2011-09-02,131264218.33
2011-09-09,130466285.89
2011-09-09,130466285.89
2011-09-23,130114463.79
2011-09-23,128515516.70
2011-09-23,128030191.87
2011-09-23,127674428.61
2011-09-23,127674428.61
2011-09-23,127674428.61
2011-09-23,127674428.61
2011-09-23,127674428.61
2011-09-30,157786851.78
2011-09-30,161031008.93
2011-09-30,160057523.19
2011-09-30,158950745.20
2011-09-30,157891280.51
2011-09-30,156740672.69
2011-09-30,156740672.69
2011-09-30,156740672.69
2011-09-30,156740672.69
2011-09-30,156740672.69
2011-09-30,156740672.69
2011-09-30,156740672.69
2011-10-21,156441012.88
2011-10-21,154703736.34
2011-10-21,154703736.34
2011-10-21,154703736.34
2011-11-25,153976566.36
2011-11-25,153976566.36
2011-11-30,153712773.10
2011-11-30,152231537.63
2011-11-30,151390944.78
2011-11-30,150639372.71
2011-12-02,150639372.71
2011-12-02,150639372.71
2011-12-02,150639372.71
2011-12-02,150639372.71
2011-12-16,151150124.91
2011-12-16,151150124.91
2011-12-23,150643887.74
2011-12-23,150643887.74
2011-12-30,150181004.79
2011-12-30,150110501.60
2011-12-30,149748484.87
2011-12-30,149748484.87
2011-12-30,149748484.87
2011-12-30,149748484.87
2011-12-31,150110272.83
2011-12-31,149752265.36
2011-12-31,149413961.41
2012-01-06,148803301.35
2012-01-06,148803301.35
2012-01-06,148803301.35
2012-01-06,148803301.35
2012-01-06,148803301.35
2012-01-20,149008585.11
2012-01-20,148347337.79
2012-01-20,148347337.79
2012-01-20,148347337.79
2012-01-27,147927376.43
2012-01-27,147927376.43
2012-01-31,147834020.50
2012-01-31,147886892.04
2012-01-31,147698601.03
2012-01-31,147826591.64
2012-02-03,147826591.64
2012-02-03,147826591.64
2012-02-03,147826591.64
2012-02-03,147826591.64
2012-02-29,146997085.97
2012-02-29,146975908.29
2012-02-29,146843835.65
2012-03-02,146891441.97
2012-03-02,146891441.97
2012-03-02,146891441.97
2012-03-02,146891441.97
2012-03-02,146891441.97
2012-03-23,146821357.91
2012-03-23,146093722.66
2012-03-23,146093722.66
2012-03-23,146093722.66
2012-03-31,145943709.33
2012-03-31,145893356.50
2012-03-31,145103380.55
2012-03-31,144499819.18
2012-03-31,144168787.18
2012-04-06,144168787.18
2012-04-06,144168787.18
2012-04-06,144168787.18
2012-04-06,144168787.18
2012-04-06,144168787.18
2012-04-27,143544626.98
2012-04-27,143544626.98
2012-04-30,142543311.23
2012-04-30,141377362.25
2012-04-30,140614283.58
2012-04-30,137620162.92
2012-04-30,136156256.09
2012-04-30,135696602.49
2012-05-04,135696602.49
2012-05-04,135696602.49
2012-05-04,135696602.49
2012-05-04,135696602.49
2012-05-04,135696602.49
2012-05-04,135696602.49
2012-05-11,135532530.17
2012-05-11,135532530.17
2012-05-18,135149841.53
2012-05-18,134687942.14
2012-05-18,134195502.86
2012-05-18,133843955.75
2012-05-18,133232315.07
2012-05-18,133232315.07
2012-05-18,133232315.07
2012-05-18,133232315.07
2012-05-18,133232315.07
2012-05-18,133232315.07
2012-05-31,133414653.91
2012-05-31,132480961.87
2012-05-31,132544187.40
2012-06-01,132544187.40
2012-06-01,132544187.40
2012-06-01,132544187.40
2012-06-15,131406586.14
2012-06-15,131406586.14
2012-07-13,136179151.41
2012-07-13,136179151.41
2012-07-20,135817865.37
2012-07-20,135817865.37
2012-07-31,135356528.97
2012-07-31,137658879.10
2012-08-03,137768499.46
2012-08-03,137768499.46
2012-08-03,137768499.46
2012-08-03,137768499.46
2012-08-24,136951506.62
2012-08-24,136951506.62
2012-09-21,137532136.34
2012-09-21,137532136.34
2012-09-28,139321849.37
2012-09-28,139321849.37
2012-09-30,138661534.39
2012-10-05,138696501.30
2012-10-05,138696501.30
2012-10-05,138696501.30
2012-10-12,138958923.67
2012-10-12,138958923.67
2012-10-26,139239763.17
2012-10-26,139239763.17
2012-10-31,143260775.53
2012-11-02,143260775.53
2012-11-09,142173565.01
2012-11-09,142173565.01
2012-11-16,140650184.53
2012-11-16,138705078.57
2012-11-16,136806077.45
2012-11-16,136806077.45
2012-11-16,136806077.45
2012-11-16,136806077.45
2012-11-23,135860638.87
2012-11-23,135860638.87
2012-11-30,135850920.12
2012-11-30,136768729.06
2012-11-30,136321355.99
2012-11-30,136545729.76
2012-11-30,136545729.76
2012-11-30,136545729.76
2012-11-30,136545729.76
2012-11-30,136545729.76
2012-12-07,136105662.25
2012-12-07,136105662.25
2012-12-14,135572600.35
2012-12-14,135572600.35
2012-12-21,134593215.24
2012-12-21,137568189.52
2012-12-21,137568189.52
2012-12-21,137568189.52
2012-12-28,136755438.36
2012-12-28,136755438.36
2012-12-31,136354322.98
2012-12-31,136338134.37
2013-01-04,136338134.37
2013-01-04,136338134.37
2013-01-11,136125256.63
2013-01-11,136125256.63
2013-01-23,138664238.47
2013-01-25,142506671.26
2013-01-25,142506671.26
2013-01-25,142506671.26
2013-01-31,142219219.42
2013-02-01,145865774.79
2013-02-01,145865774.79
2013-02-01,145865774.79
2013-02-28,148759423.05
2013-03-01,148759423.05
2013-03-08,150048194.17
2013-03-08,150048194.17
2013-03-15,148861015.39
2013-03-15,148861015.39
2013-03-31,147411707.71
2013-04-05,146689674.69
2013-04-05,146689674.69
2013-04-05,146689674.69
2013-04-19,146738138.08
2013-04-19,146738138.08
2013-05-17,149040000.72
2013-05-17,149040000.72
2013-05-31,149011144.81
2013-05-31,149011144.81
2013-06-07,149920741.57
2013-06-07,150401785.45
2013-06-07,151090816.63
2013-06-07,151090816.63
2013-06-07,151090816.63
2013-06-07,151090816.63
2013-06-21,151553646.40
2013-06-21,151981894.48
2013-06-21,151981894.48
2013-06-21,151981894.48
2013-06-30,154826352.87
2013-06-30,154556317.77
2013-06-30,154164543.71
2013-07-05,154164543.71
2013-07-05,154164543.71
2013-07-05,154164543.71
2013-07-31,153499873.53
2013-08-02,153499873.53
2013-08-30,152140744.93
2013-08-30,152140744.93
2013-08-31,151407490.55
2013-09-06,151407490.55
2013-09-20,153830392.98
2013-09-20,153830392.98
2013-09-30,157668840.25
2013-09-30,157854066.78
2013-10-04,157698130.41
2013-10-04,157698130.41
2013-10-04,157698130.41
2013-10-04,157698130.41
2013-10-11,162998499.92
2013-10-11,162998499.92
2013-10-18,162464394.18
2013-10-18,162308213.58
2013-10-18,166139492.16
2013-10-18,166228989.94
2013-10-18,166228989.94
2013-10-18,166228989.94
2013-10-18,166228989.94
2013-10-18,166228989.94
2013-10-25,165750190.20
2013-10-25,165750190.20
2013-10-31,166288305.24
2013-10-31,165544555.31
2013-10-31,165186647.45
2013-11-01,166426292.75
2013-11-01,166426292.75
2013-11-01,166426292.75
2013-11-01,166426292.75
2013-11-01,166426292.75
2013-11-08,164856724.59
2013-11-08,164856724.59
2013-11-22,164637184.22
2013-11-22,164114994.76
2013-11-22,164114994.76
2013-11-22,164114994.76
2013-11-30,167573073.78
2013-11-30,167795965.33
2013-11-30,165455827.76
2013-11-30,164685037.95
2013-11-30,164116719.82
2013-11-30,164123020.61
2013-12-06,164123020.61
2013-12-06,164123020.61
2013-12-06,164123020.61
2013-12-06,164123020.61
2013-12-06,164123020.61
2013-12-06,164123020.61
2013-12-13,163316710.62
2013-12-13,163316710.62
2013-12-27,162807762.10
2013-12-27,162807762.10
2013-12-31,162664582.37
2013-12-31,162008998.83
2013-12-31,161104318.04
2014-01-03,161104318.04
2014-01-03,161104318.04
2014-01-03,161104318.04
2014-01-10,159437289.00
2014-01-10,158089351.01
2014-01-10,158089351.01
2014-01-10,158089351.01
2014-01-24,155898025.44
2014-01-24,155414481.29
2014-01-24,155108038.38
2014-01-24,155108038.38
2014-01-24,155108038.38
2014-01-24,155108038.38
2014-01-31,154500083.80
2014-01-31,154610665.47
2014-01-31,154614179.32
2014-01-31,154285549.94
2014-01-31,154185089.89
2014-01-31,153916571.81
2014-01-31,153627654.79
2014-01-31,153627654.79
2014-01-31,153627654.79
2014-01-31,153627654.79
2014-01-31,153627654.79
2014-01-31,153627654.79
2014-01-31,153627654.79
2014-01-31,153627654.79
2014-02-07,156776822.73
2014-02-07,156776822.73
2014-02-21,156697926.85
2014-02-21,156697926.85
2014-02-28,156710127.53
2014-02-28,156507648.70
2014-02-28,156507648.70
2014-02-28,156507648.70
2014-03-28,156028737.79
2014-03-28,156028737.79
2014-04-11,155440758.38
2014-04-11,154343255.09
2014-04-11,154343255.09
2014-04-11,154343255.09
2014-04-18,154329937.69
2014-04-18,154329937.69
2014-05-23,157682288.11
2014-05-23,157682288.11
2014-06-27,155173645.07
2014-06-27,155173645.07
2014-06-30,155004159.73
2014-07-04,155004159.73
2014-07-11,151412508.04
2014-07-11,151325584.54
2014-07-11,151050528.93
2014-07-11,151050528.93
2014-07-11,151050528.93
2014-07-11,151050528.93
2014-07-18,152681061.13
2014-07-18,152681061.13
2014-07-31,151711961.97
2014-07-31,150808004.71
2014-08-01,150808004.71
2014-08-01,150808004.71
2014-08-08,151525036.01
2014-08-08,151525036.01
2014-08-19,188971046.35
2014-08-22,189453399.80
2014-08-22,189453399.80
2014-08-22,189453399.80
2014-08-29,191337171.98
2014-08-29,191337171.98
2014-08-31,191182197.33
2014-09-05,201021740.93
2014-09-05,201021740.93
2014-09-05,201021740.93
2014-09-26,202383601.62
2014-09-26,202383601.62
2014-09-30,201839812.18
2014-10-03,201037485.19
2014-10-03,201037485.19
2014-10-03,201037485.19
2014-10-17,204351442.52
2014-10-17,203326285.36
2014-10-17,203326285.36
2014-10-17,203326285.36
2014-10-31,205185345.27
2014-10-31,204641307.47
2014-10-31,203962537.40
2014-10-31,203962537.40
2014-10-31,203962537.40
2014-10-31,203962537.40
2014-11-21,203586965.57
2014-11-21,202510108.40
2014-11-21,202510108.40
2014-11-21,202510108.40
2014-11-28,202311690.53
2014-11-28,202311690.53
2014-11-30,207399426.96
2014-11-30,202653289.16
2014-11-30,202496251.23
2014-12-05,201693237.64
2014-12-05,201693237.64
2014-12-05,201693237.64
2014-12-05,201693237.64
2014-12-05,201693237.64
2014-12-12,204136796.35
2014-12-12,204022228.56
2014-12-12,204022228.56
2014-12-12,204022228.56
2014-12-19,204074206.75
2014-12-19,204074206.75
2014-12-31,206792969.44
2015-01-02,206792969.44
2015-01-09,208867153.87
2015-01-09,208611457.25
2015-01-09,208611457.25
2015-01-09,208611457.25
2015-01-31,207265741.36
2015-01-31,206667804.44
2015-02-06,206667804.44
2015-02-06,206667804.44
2015-02-20,205337425.90
2015-02-20,205337425.90
2015-03-20,205185955.53
2015-03-20,205185955.53
2015-03-31,206064129.89
2015-04-03,206064129.89
2015-04-30,208714372.14
2015-05-01,208714372.14
2015-05-31,207917058.99
2015-06-05,207917058.99
2015-06-12,217704481.93
2015-06-12,217704481.93
2015-06-26,216932967.56
2015-06-26,216932967.56
2015-07-31,226676888.22
2015-07-31,225374257.69
2015-07-31,224180530.41
2015-07-31,224180530.41
2015-07-31,224180530.41
2015-07-31,224180530.41
2015-08-14,223225537.96
2015-08-14,223225537.96
2015-08-21,227209484.11
2015-08-21,223929886.26
2015-08-21,225892854.65
2015-08-21,228334182.22
2015-08-21,229322035.95
2015-08-21,228908728.73
2015-08-21,228908728.73
2015-08-21,228908728.73
2015-08-21,228908728.73
2015-08-21,228908728.73
2015-08-21,228908728.73
2015-08-21,228908728.73
2015-08-31,237034069.12
2015-08-31,239846690.16
2015-08-31,240019286.05
2015-09-04,239080347.95
2015-09-04,237863862.28
2015-09-04,237863862.28
2015-09-04,237863862.28
2015-09-04,237863862.28
2015-09-04,237863862.28
2015-09-04,237863862.28
2015-09-11,237932784.35
2015-09-11,237932784.35
2015-09-18,237192713.06
2015-09-18,237192713.06
2015-09-30,239057198.53
2015-09-30,236465916.40
2015-09-30,236622433.49
2015-10-02,236622433.49
2015-10-02,236622433.49
2015-10-02,236622433.49
2015-10-23,235474320.21
2015-10-23,235474320.21
2015-10-31,241459686.40
2015-10-31,242609298.07
2015-10-31,241126441.59
2015-11-06,242371498.36
2015-11-06,245025695.77
2015-11-06,245025695.77
2015-11-06,245025695.77
2015-11-06,245025695.77
2015-11-06,245025695.77
2015-11-06,245025695.77
2015-11-13,243656992.59
2015-11-13,243656992.59
2015-11-27,244545386.89
2015-11-27,244545386.89
2015-11-30,244447111.27
2015-11-30,244097485.71
2015-11-30,245640109.31
2015-11-30,245080132.09
2015-12-04,245080132.09
2015-12-04,245080132.09
2015-12-04,245080132.09
2015-12-04,245080132.09
2015-12-31,247377883.06
2015-12-31,246880618.63
2015-12-31,247312494.00
2015-12-31,247287269.56
2015-12-31,245100235.61
2016-01-01,245100235.61
2016-01-01,245100235.61
2016-01-01,245100235.61
2016-01-01,245100235.61
2016-01-01,245100235.61
2016-01-15,243959511.93
2016-01-15,243959511.93
2016-01-22,243031829.00
2016-01-22,242170291.57
2016-01-22,241978135.84
2016-01-22,241978135.84
2016-01-22,241978135.84
2016-01-22,241978135.84
2016-01-29,240204906.05
2016-01-29,240204906.05
2016-01-31,243771411.29
2016-01-31,242781422.23
2016-01-31,239611644.84
2016-01-31,237456455.43
2016-01-31,236115670.70
2016-02-05,235576925.22
2016-02-05,235576925.22
2016-02-05,235576925.22
2016-02-05,235576925.22
2016-02-05,235576925.22
2016-02-05,235576925.22
2016-02-05,235576925.22
2016-02-12,234661683.42
2016-02-12,234661683.42
2016-02-29,232853774.94
2016-02-29,232127177.08
2016-02-29,231219770.93
2016-02-29,231444102.60
2016-02-29,231285577.17
2016-03-04,231285577.17
2016-03-04,231285577.17
2016-03-04,231285577.17
2016-03-04,231285577.17
2016-03-04,231285577.17
2016-03-11,231839105.45
2016-03-11,231839105.45
2016-03-31,231692067.44
2016-03-31,230778716.86
2016-03-31,230681824.73
2016-04-01,232524941.40
2016-04-01,232524941.40
2016-04-01,232524941.40
2016-04-01,232524941.40
2016-04-01,232524941.40
2016-04-22,232503407.65
2016-04-22,232503407.65
2016-04-30,231912795.61
2016-04-30,230477662.69
2016-04-30,230595242.29
2016-05-06,230595242.29
2016-05-06,230595242.29
2016-05-06,230595242.29
2016-05-13,230359386.13
2016-05-13,230359386.13
2016-05-20,229865538.97
2016-05-20,229865538.97
2016-05-27,228944259.68
2016-05-27,228944259.68
2016-05-31,236761761.40
2016-05-31,233793539.32
2016-05-31,232895109.77
2016-06-03,232593043.02
2016-06-03,232593043.02
2016-06-03,232593043.02
2016-06-03,232593043.02
2016-06-03,232593043.02
2016-06-10,232180505.89
2016-06-10,232180505.89
2016-06-17,230940761.46
2016-06-17,231415547.80
2016-06-17,231415547.80
2016-06-17,231415547.80
2016-06-24,230980691.88
2016-06-24,239634311.99
2016-06-24,236799310.81
2016-06-24,236538603.24
2016-06-24,236538603.24
2016-06-24,236538603.24
2016-06-24,236538603.24
2016-06-24,236538603.24
2016-06-30,236177511.02
2016-06-30,234958411.37
2016-06-30,234579576.22
2016-07-01,234579576.22
2016-07-01,234579576.22
2016-07-01,234579576.22
2016-07-08,236384945.61
2016-07-08,236384945.61
2016-07-29,236064834.68
2016-07-29,236064834.68
2016-08-26,236347850.26
2016-08-26,237169798.84
2016-08-26,237169798.84
2016-08-26,237169798.84
2016-08-31,236768344.55
2016-08-31,240165691.14
2016-08-31,237640625.96
2016-08-31,237465099.51
2016-09-02,237465099.51
2016-09-02,237465099.51
2016-09-02,237465099.51
2016-09-02,237465099.51
2016-09-09,237225902.23
2016-09-09,237225902.23
2016-09-30,237052424.66
2016-09-30,237775025.55
2016-09-30,237775025.55
2016-09-30,237775025.55
2016-10-14,243275819.80
2016-10-14,243022729.18
2016-10-14,243022729.18
2016-10-14,243022729.18
2016-10-21,243664849.81
2016-10-21,243664849.81
2016-10-28,248937225.53
2016-10-28,248702129.40
2016-10-28,248858819.70
2016-10-28,248858819.70
2016-10-28,248858819.70
2016-10-28,248858819.70
2016-10-31,248312295.97
2016-10-31,246645339.31
2016-10-31,243077140.29
2016-10-31,242091583.91
2016-10-31,240064481.53
2016-10-31,237379158.87
2016-10-31,235482458.80
2016-10-31,235305532.98
2016-11-04,234095082.87
2016-11-04,234157637.54
